episode,high_tile,steps
525,256,284
526,512,457
527,128,223
528,256,251
529,256,281
530,512,378
531,256,387
532,128,167
533,128,150
534,256,315
535,512,483
536,256,251
537,128,178
538,512,366
539,512,437
540,256,406
541,512,469
542,256,248
543,512,494
544,64,153
545,256,342
546,1024,980
547,32,84
548,128,148
549,256,319
550,256,352
551,128,167
552,512,440
553,128,202
554,128,171
555,512,400
556,128,216
557,128,208
558,128,194
559,256,361
560,256,299
561,512,401
562,256,290
563,256,310
564,512,397
565,128,221
566,256,266
567,256,318
568,256,268
569,128,187
570,128,182
571,512,591
572,256,356
573,128,184
574,256,388
575,128,209
576,256,218
577,128,142
578,512,433
579,256,408
580,256,288
581,512,437
582,512,562
583,256,316
584,128,198
585,256,239
586,512,525
587,256,318
588,128,241
589,256,208
590,256,308
591,512,379
592,256,322
593,128,135
594,128,151
595,512,420
596,512,418
597,512,390
598,256,203
599,256,215
600,256,249
601,128,152
602,256,263
603,512,550
604,256,300
605,512,561
606,128,122
607,512,419
608,512,461
609,256,275
610,512,557
611,256,336
612,128,173
613,512,362
614,256,413
615,512,561
616,256,293
617,256,244
618,256,310
619,512,572
620,256,274
621,128,181
622,128,252
623,64,129
624,256,329
625,256,209
626,512,461
627,512,460
628,128,181
629,512,513
630,256,283
631,256,250
632,512,331
633,256,343
634,256,283
635,256,334
636,128,208
637,512,381
638,64,125
639,256,258
640,256,210
641,256,216
642,512,412
643,512,405
644,256,342
645,512,394
646,512,374
647,512,386
648,512,452
649,512,476
650,128,166
651,128,149
652,512,586
653,512,444
654,256,293
655,512,551
656,512,392
657,256,284
658,64,121
659,256,329
660,512,506
661,512,520
662,256,363
663,512,442
664,256,271
665,256,382
666,256,270
667,512,583
668,256,321
669,256,355
670,256,246
671,256,391
672,64,104
673,512,441
674,256,281
675,512,393
676,512,480
677,256,202
678,256,270
679,512,429
680,512,494
681,512,399
682,512,498
683,256,211
684,256,302
685,256,259
686,256,256
687,512,519
688,256,338
689,256,305
690,256,309
691,256,283
692,128,182
693,128,207
694,128,172
695,128,158
696,128,157
697,256,406
698,128,202
699,512,403
700,512,611
701,256,460
702,256,293
703,256,260
704,256,292
705,32,71
706,512,556
707,256,237
708,128,166
709,512,582
710,512,465
711,256,321
712,256,246
713,512,402
714,512,451
715,512,597
716,128,176
717,512,369
718,512,556
719,256,277
720,1024,620
721,512,367
722,256,363
723,256,234
724,128,147
725,256,305
726,256,248
727,512,327
728,512,527
729,512,551
730,1024,630
731,512,522
732,512,360
733,256,243
734,256,215
735,1024,558
736,1024,827
737,256,207
738,256,294
739,256,317
740,1024,958
741,512,342
742,512,589
743,512,435
744,512,477
745,512,561
746,256,329
747,512,480
748,512,522
749,1024,788
750,128,179
751,512,528
752,512,477
753,512,441
754,256,267
755,512,559
756,256,275
757,512,564
758,64,130
759,256,371
760,512,549
761,512,568
762,512,481
763,512,556
764,512,394
765,512,539
766,512,564
767,256,285
768,512,483
769,512,465
770,256,346
771,256,300
772,256,292
773,256,293
774,512,342
775,512,627
776,512,512
777,256,280
778,128,120
779,256,245
780,1024,573
781,512,347
782,1024,717
783,128,153
784,256,259
785,512,484
786,512,526
787,512,541
788,512,468
789,256,295
790,1024,586
791,256,229
792,256,273
793,256,237
794,512,419
795,512,686
796,1024,917
797,512,561
798,512,445
799,512,349
800,256,398
801,256,400
802,512,537
803,512,444
804,256,243
805,512,624
806,256,279
807,512,428
808,512,448
809,512,554
810,512,387
811,512,374
812,512,648
813,128,188
814,128,156
815,128,159
816,256,288
817,256,286
818,256,329
819,512,499
820,256,217
821,256,252
822,256,319
823,512,532
824,512,478
825,256,281
826,1024,960
827,1024,749
828,256,351
829,256,400
830,512,354
831,256,290
832,512,587
833,512,572
834,128,143
835,512,457
