episode,moves,score,high_tile
302,144,1140.0,128
303,94,544.0,64
304,220,2068.0,256
305,99,604.0,64
306,194,1812.0,256
307,258,2284.0,256
308,146,1268.0,128
309,133,1032.0,128
310,171,1368.0,128
311,85,388.0,32
312,59,288.0,32
313,181,1364.0,128
314,156,1316.0,128
315,150,1064.0,128
316,107,688.0,64
317,87,500.0,64
318,139,976.0,128
319,100,580.0,64
320,255,2428.0,256
321,114,1004.0,128
322,126,756.0,64
323,173,1388.0,128
324,92,540.0,64
325,119,1048.0,128
326,111,680.0,64
327,216,1868.0,128
328,107,740.0,64
329,84,536.0,64
330,177,1468.0,128
331,73,460.0,64
332,91,572.0,64
333,125,1008.0,128
334,149,1140.0,128
335,200,1688.0,128
336,218,1932.0,256
337,83,520.0,64
338,117,740.0,64
339,135,1056.0,128
340,121,800.0,64
341,108,672.0,64
342,187,1440.0,128
343,135,940.0,64
344,98,596.0,64
345,133,960.0,64
346,106,728.0,64
347,134,1076.0,128
348,210,1772.0,256
349,204,1404.0,128
350,81,572.0,64
351,65,260.0,32
352,202,1440.0,128
353,154,1296.0,128
354,100,716.0,64
355,59,260.0,32
356,57,212.0,16
357,151,1220.0,128
358,104,716.0,64
359,95,596.0,64
360,92,612.0,64
361,191,1556.0,128
362,174,1472.0,128
363,138,1172.0,128
364,161,1360.0,128
365,130,896.0,64
366,89,548.0,64
367,167,1384.0,128
368,125,772.0,64
369,114,968.0,128
370,113,632.0,64
371,148,1280.0,128
372,173,1404.0,128
373,88,548.0,64
374,120,932.0,128
375,166,1400.0,128
376,161,1396.0,128
377,75,488.0,64
378,104,612.0,64
379,257,2500.0,256
380,82,540.0,64
381,148,1212.0,128
382,96,684.0,64
383,170,1288.0,128
384,113,836.0,64
385,130,1160.0,128
386,94,496.0,32
387,124,908.0,64
388,182,1696.0,128
389,90,580.0,64
390,92,580.0,64
391,125,1028.0,128
392,116,760.0,64
393,121,732.0,64
394,50,256.0,32
395,163,1332.0,128
396,129,928.0,64
397,191,1660.0,128
398,105,648.0,64
399,102,580.0,64
400,169,1424.0,128
401,153,1220.0,128
402,105,796.0,64
403,200,1664.0,128
404,106,688.0,64
405,163,1240.0,128
406,154,1284.0,128
407,149,1228.0,128
408,122,972.0,128
409,155,1296.0,128
410,88,572.0,64
411,110,632.0,64
412,128,920.0,64
413,270,2544.0,256
414,160,1228.0,128
415,167,1372.0,128
416,142,1216.0,128
417,203,1884.0,256
418,155,1308.0,128
419,233,2048.0,256
420,126,1008.0,128
421,96,564.0,64
422,64,348.0,32
423,93,648.0,64
424,91,572.0,64
425,92,556.0,64
426,62,296.0,32
427,159,1276.0,128
428,107,636.0,64
429,115,712.0,64
430,93,408.0,32
431,69,424.0,64
432,94,612.0,64
433,155,1288.0,128
434,173,1392.0,128
435,237,2168.0,256
436,135,1040.0,128
437,163,1224.0,128
438,152,1280.0,128
439,80,404.0,32
440,69,392.0,32
441,183,1436.0,128
442,99,604.0,64
443,189,1484.0,128
444,99,584.0,64
445,188,1396.0,128
446,94,436.0,32
447,207,1848.0,256
448,233,2128.0,256
449,158,1272.0,128
450,143,1128.0,128
451,118,864.0,64
452,156,1280.0,128
453,152,1280.0,128
454,122,768.0,64
455,208,1884.0,256
456,114,756.0,64
457,93,604.0,64
458,156,1320.0,128
459,78,460.0,64
460,246,2132.0,256
461,166,1452.0,128
462,82,508.0,64
463,111,652.0,64
464,96,608.0,64
465,152,1308.0,128
466,76,360.0,32
467,120,720.0,64
468,112,704.0,64
469,154,1328.0,128
470,208,1676.0,128
471,265,2144.0,256
472,146,1264.0,128
473,126,944.0,128
474,194,1588.0,128
475,166,1320.0,128
476,91,552.0,64
477,102,680.0,64
478,157,1176.0,128
479,88,616.0,64
480,96,624.0,64
481,230,2100.0,256
482,160,1404.0,128
483,166,1380.0,128
484,179,1452.0,128
485,235,2208.0,128
486,97,576.0,64
487,116,828.0,64
488,95,596.0,64
489,177,1236.0,64
490,113,784.0,64
491,130,972.0,64
492,121,760.0,64
493,109,692.0,64
494,205,1832.0,256
495,123,772.0,64
496,166,1364.0,128
497,168,1268.0,128
498,178,1392.0,128
499,132,1072.0,128
500,114,704.0,64
501,149,1172.0,128
502,187,1476.0,128
503,157,1260.0,128
504,156,1216.0,128
505,234,2012.0,256
506,152,1252.0,128
507,175,1452.0,128
508,137,944.0,64
509,119,748.0,64
510,112,732.0,64
511,221,1976.0,256
512,159,1344.0,128
513,93,688.0,64
514,101,664.0,64
515,188,1448.0,128
516,173,1360.0,128
517,152,1108.0,128
518,78,420.0,32
519,128,1084.0,128
520,188,1396.0,128
521,150,1256.0,128
522,124,1004.0,128
523,102,720.0,64
524,131,904.0,64
525,151,1312.0,128
526,229,1968.0,256
527,177,1652.0,128
528,172,1200.0,64
529,102,600.0,64
530,104,584.0,64
531,69,292.0,32
532,100,772.0,64
533,176,1308.0,128
534,92,436.0,32
535,159,1316.0,128
536,165,1448.0,128
537,257,2456.0,256
538,122,864.0,64
539,175,1316.0,128
540,131,1080.0,128
541,209,1688.0,128
542,104,608.0,64
543,137,1120.0,128
544,186,1452.0,128
545,239,2080.0,256
546,112,728.0,64
547,117,808.0,64
548,171,1396.0,128
549,154,1124.0,128
550,138,1212.0,128
551,163,1296.0,128
552,140,1208.0,128
553,136,892.0,64
554,267,2600.0,256
555,139,1160.0,128
556,162,1388.0,128
557,145,1204.0,128
558,211,1976.0,256
559,196,1560.0,128
560,123,876.0,64
561,121,796.0,64
562,148,1292.0,128
563,76,472.0,64
564,185,1380.0,128
565,124,1048.0,128
566,162,1436.0,128
567,63,276.0,32
568,156,1340.0,128
569,176,1544.0,128
570,181,1588.0,128
571,108,744.0,64
572,97,616.0,64
573,104,676.0,64
574,128,1056.0,128
575,236,2192.0,256
576,163,1392.0,128
577,139,1084.0,128
578,135,1056.0,128
579,239,2180.0,256
580,108,908.0,128
581,311,2812.0,256
582,98,604.0,64
583,119,764.0,64
584,166,1292.0,128
585,212,2008.0,128
